Date,Description,Category,Amount,Confirmed
2025-03-14,一卡通充值，充值学工号：2022213118,Service,-100.00,false
2025-03-14,物美便利小吃店,Food,-12.00,false
2025-03-16,梨花盏核桃碳烤肉-美团App-25031611100300001306270756336864,Food,-41.00,false
2025-03-16,梨花盏核桃碳烤肉-美团App-25031611100300001306274540878864,Food,-130.50,false
2025-03-16,美团平台商户,Other,41.00,false
2025-03-17,风味餐厅11_餐费Expense,Food,-12.00,false
2025-03-18,新学苑风味20_餐费Expense,Food,-16.00,false
2025-03-18,小洋人手帕纸（芯梦郎）,Shopping,-1.00,false
2025-03-18,先骑后付,Service,-1.50,false
2025-03-20,风味重庆麻辣烫_餐费Expense,Food,-19.00,false
2025-03-21,主食1号机_餐费Expense,Food,-1.10,false
2025-03-21,先骑后付,Service,-1.50,false
2025-03-21,先购后付,Shopping,-4.00,false
2025-03-21,蜜雪冰城920791店,Food,-17.00,false
2025-03-21,北京川缘轩餐饮有限公司,Food,-4.00,false
2025-03-21,蜜雪冰城920791店,Food,-7.00,false
2025-03-21,先骑后付,Service,-1.50,false
2025-03-21,物美便利小吃店,Food,-12.00,false
2025-03-22,先骑后付,Service,-1.50,false
2025-03-22,先骑后付,Service,-1.50,false
2025-03-22,/,Other,-50.00,false
2025-03-22,/,Other,-86.50,false
2025-03-23,孔雀记忆越南粉·咖喱饭（第B30档口橘猫精选美食城店）-美团外卖App-25032311100300001307649700785864,Food,-37.80,false
2025-03-23,物美便利小吃店,Food,-12.00,false
2025-03-24,/,Other,-19.90,false
2025-03-25,先骑后付,Service,-1.50,false
2025-03-25,先骑后付,Service,-1.50,false
2025-03-26,风味餐厅11_餐费Expense,Food,-12.00,false
2025-03-26,小洋人手帕纸（芯梦郎）,Shopping,-1.00,false
2025-03-26,物美便利小吃店,Food,-12.00,false
2025-03-27,一卡通充值，充值学工号：2022213118,Service,-200.00,false
2025-03-27,风味餐厅8_餐费Expense,Food,-11.00,false
2025-03-27,/,Other,-14.90,false
2025-03-28,风味餐厅11_餐费Expense,Food,-17.00,false
2025-03-28,椰奶甜品清补凉-美团外卖App-25032811100300001308540320349864,Food,-18.40,false
2025-03-28,主食6号机_餐费Expense,Food,-8.00,false
2025-03-29,先骑后付,Service,-1.50,false
2025-03-29,先骑后付,Service,-1.50,false
2025-03-29,Daoshang8°韩式炸鸡(第四档口佳果多美食城店)-美团外卖App-25032911100300001308742260314864,Food,-21.88,false
2025-03-30,新学苑风味19_餐费Expense,Food,-19.80,false
2025-03-31,风味餐厅11_餐费Expense,Food,-12.00,false
2025-04-01,先骑后付,Service,-1.50,false
2025-04-01,北京川缘轩餐饮有限公司,Food,-2.00,false
2025-04-01,转账备注:微信转账,Other,2500.00,false
2025-04-01,收款方备注:二维码收款,Other,-16.00,false
2025-04-01,蜜雪冰城920791店,Food,-3.60,false
2025-04-01,北京川缘轩餐饮有限公司,Food,-2.00,false
2025-04-01,先骑后付,Service,-1.50,false
2025-04-02,Daoshang8°韩式炸鸡(第四档口佳果多美食城店)-美团外卖App-25040211100300001309423532154864,Food,-24.00,false
2025-04-03,永和大王·现磨豆浆·卤肉饭·早餐粥·盖浇饭(学院路BJ053店)-美团外卖App-25040311100300001309512011635864,Food,-19.91,false
2025-04-04,煲仔皇北京圣熙8号店-点餐即支付-2279407110393505797,Food,-92.00,false
2025-04-04,转账备注:微信转账,Other,46.00,false
2025-04-04,/,Other,-136.29,false
2025-04-05,物美便利小吃店,Food,-10.00,false
2025-04-06,CoCo都可(枫蓝国际店)-美团外卖App-25040611100300001300191681999864,Food,-9.10,false
2025-04-06,梅哩悠·拌饭专营（格林美食城第13档口）-美团外卖App-25040611100300001300191859528864,Food,-17.08,false
2025-04-07,风味餐厅13_餐费Expense,Food,-17.00,false
2025-04-07,风味餐厅1_餐费Expense,Food,-23.70,false
2025-04-07,/,Other,2216.02,false
2025-04-08,风味餐厅2_餐费Expense,Food,-15.00,false
2025-04-08,风味粤卤一品_餐费Expense,Food,-14.80,false
2025-04-08,风味水吧_餐费Expense,Food,-4.00,false
2025-04-08,物美便利小吃店,Food,-12.00,false
2025-04-09,风味餐厅15_餐费Expense,Food,-12.00,false
2025-04-09,人均20吃饱饱·老蚌埠格子饭（第一档口乐事美食城店）-美团外卖App-25040911100300001300752612888864,Food,-21.90,false
2025-04-10,利哥兄弟菜馆（四道口店）-美团外卖App-25041011100300001300926712253864,Food,-22.90,false
2025-04-11,小洋人手帕纸（芯梦郎）,Shopping,-1.00,false
2025-04-11,物美便利,Shopping,-15.40,false
2025-04-11,风味粤卤一品_餐费Expense,Food,-14.80,false
2025-04-11,/,Other,-21.00,false
2025-04-11,转账备注:微信转账,Other,21.00,false
2025-04-12,风味餐厅3_餐费Expense,Food,-12.00,false
2025-04-13,利哥兄弟菜馆（四道口店）-美团外卖App-25041311100300001301428255954864,Food,-23.90,false
2025-04-13,风味粤卤一品_餐费Expense,Food,-14.80,false
2025-04-14,风味餐厅2_餐费Expense,Food,-15.00,false
